,RMSE,bsl_options,params,scores
0,1.0003280897495466,"{'method': 'als', 'reg_i': 1.0, 'reg_u': 5.0, 'n_epochs': 1.0}","{'bsl_options': {'method': 'als', 'reg_i': 1.0, 'reg_u': 5.0, 'n_epochs': 1.0}}",{'RMSE': 1.0003280897495466}
1,0.9998149095830994,"{'method': 'als', 'reg_i': 1.0, 'reg_u': 5.0, 'n_epochs': 4.5}","{'bsl_options': {'method': 'als', 'reg_i': 1.0, 'reg_u': 5.0, 'n_epochs': 4.5}}",{'RMSE': 0.99981490958309938}
2,0.9998115893144036,"{'method': 'als', 'reg_i': 1.0, 'reg_u': 5.0, 'n_epochs': 8.0}","{'bsl_options': {'method': 'als', 'reg_i': 1.0, 'reg_u': 5.0, 'n_epochs': 8.0}}",{'RMSE': 0.99981158931440361}
3,0.9998097127313854,"{'method': 'als', 'reg_i': 1.0, 'reg_u': 5.0, 'n_epochs': 11.5}","{'bsl_options': {'method': 'als', 'reg_i': 1.0, 'reg_u': 5.0, 'n_epochs': 11.5}}",{'RMSE': 0.99980971273138541}
4,0.9998077846751334,"{'method': 'als', 'reg_i': 1.0, 'reg_u': 5.0, 'n_epochs': 15.0}","{'bsl_options': {'method': 'als', 'reg_i': 1.0, 'reg_u': 5.0, 'n_epochs': 15.0}}",{'RMSE': 0.99980778467513343}
5,1.000071448798522,"{'method': 'als', 'reg_i': 1.0, 'reg_u': 10.0, 'n_epochs': 1.0}","{'bsl_options': {'method': 'als', 'reg_i': 1.0, 'reg_u': 10.0, 'n_epochs': 1.0}}",{'RMSE': 1.0000714487985221}
6,0.9995605667812562,"{'method': 'als', 'reg_i': 1.0, 'reg_u': 10.0, 'n_epochs': 4.5}","{'bsl_options': {'method': 'als', 'reg_i': 1.0, 'reg_u': 10.0, 'n_epochs': 4.5}}",{'RMSE': 0.99956056678125615}
7,0.9995459861348985,"{'method': 'als', 'reg_i': 1.0, 'reg_u': 10.0, 'n_epochs': 8.0}","{'bsl_options': {'method': 'als', 'reg_i': 1.0, 'reg_u': 10.0, 'n_epochs': 8.0}}",{'RMSE': 0.99954598613489853}
8,0.9995393342021066,"{'method': 'als', 'reg_i': 1.0, 'reg_u': 10.0, 'n_epochs': 11.5}","{'bsl_options': {'method': 'als', 'reg_i': 1.0, 'reg_u': 10.0, 'n_epochs': 11.5}}",{'RMSE': 0.99953933420210661}
9,0.9995337059293519,"{'method': 'als', 'reg_i': 1.0, 'reg_u': 10.0, 'n_epochs': 15.0}","{'bsl_options': {'method': 'als', 'reg_i': 1.0, 'reg_u': 10.0, 'n_epochs': 15.0}}",{'RMSE': 0.99953370592935187}
10,1.000028832777809,"{'method': 'als', 'reg_i': 1.0, 'reg_u': 15.0, 'n_epochs': 1.0}","{'bsl_options': {'method': 'als', 'reg_i': 1.0, 'reg_u': 15.0, 'n_epochs': 1.0}}",{'RMSE': 1.0000288327778091}
11,0.9995135943085784,"{'method': 'als', 'reg_i': 1.0, 'reg_u': 15.0, 'n_epochs': 4.5}","{'bsl_options': {'method': 'als', 'reg_i': 1.0, 'reg_u': 15.0, 'n_epochs': 4.5}}",{'RMSE': 0.99951359430857845}
12,0.9994860106204594,"{'method': 'als', 'reg_i': 1.0, 'reg_u': 15.0, 'n_epochs': 8.0}","{'bsl_options': {'method': 'als', 'reg_i': 1.0, 'reg_u': 15.0, 'n_epochs': 8.0}}",{'RMSE': 0.99948601062045939}
13,0.9994755851795974,"{'method': 'als', 'reg_i': 1.0, 'reg_u': 15.0, 'n_epochs': 11.5}","{'bsl_options': {'method': 'als', 'reg_i': 1.0, 'reg_u': 15.0, 'n_epochs': 11.5}}",{'RMSE': 0.99947558517959745}
14,0.9994680554136747,"{'method': 'als', 'reg_i': 1.0, 'reg_u': 15.0, 'n_epochs': 15.0}","{'bsl_options': {'method': 'als', 'reg_i': 1.0, 'reg_u': 15.0, 'n_epochs': 15.0}}",{'RMSE': 0.99946805541367467}
15,1.0001190082003362,"{'method': 'als', 'reg_i': 1.0, 'reg_u': 20.0, 'n_epochs': 1.0}","{'bsl_options': {'method': 'als', 'reg_i': 1.0, 'reg_u': 20.0, 'n_epochs': 1.0}}",{'RMSE': 1.0001190082003362}
16,0.9995949977144591,"{'method': 'als', 'reg_i': 1.0, 'reg_u': 20.0, 'n_epochs': 4.5}","{'bsl_options': {'method': 'als', 'reg_i': 1.0, 'reg_u': 20.0, 'n_epochs': 4.5}}",{'RMSE': 0.99959499771445914}
17,0.9995565008700017,"{'method': 'als', 'reg_i': 1.0, 'reg_u': 20.0, 'n_epochs': 8.0}","{'bsl_options': {'method': 'als', 'reg_i': 1.0, 'reg_u': 20.0, 'n_epochs': 8.0}}",{'RMSE': 0.9995565008700017}
18,0.9995441720359399,"{'method': 'als', 'reg_i': 1.0, 'reg_u': 20.0, 'n_epochs': 11.5}","{'bsl_options': {'method': 'als', 'reg_i': 1.0, 'reg_u': 20.0, 'n_epochs': 11.5}}",{'RMSE': 0.99954417203593993}
19,0.9995364101825619,"{'method': 'als', 'reg_i': 1.0, 'reg_u': 20.0, 'n_epochs': 15.0}","{'bsl_options': {'method': 'als', 'reg_i': 1.0, 'reg_u': 20.0, 'n_epochs': 15.0}}",{'RMSE': 0.9995364101825619}
20,1.0002963756886363,"{'method': 'als', 'reg_i': 1.0, 'reg_u': 25.0, 'n_epochs': 1.0}","{'bsl_options': {'method': 'als', 'reg_i': 1.0, 'reg_u': 25.0, 'n_epochs': 1.0}}",{'RMSE': 1.0002963756886363}
21,0.9997615148183603,"{'method': 'als', 'reg_i': 1.0, 'reg_u': 25.0, 'n_epochs': 4.5}","{'bsl_options': {'method': 'als', 'reg_i': 1.0, 'reg_u': 25.0, 'n_epochs': 4.5}}",{'RMSE': 0.99976151481836029}
22,0.9997151137593236,"{'method': 'als', 'reg_i': 1.0, 'reg_u': 25.0, 'n_epochs': 8.0}","{'bsl_options': {'method': 'als', 'reg_i': 1.0, 'reg_u': 25.0, 'n_epochs': 8.0}}",{'RMSE': 0.99971511375932365}
23,0.9997023074088475,"{'method': 'als', 'reg_i': 1.0, 'reg_u': 25.0, 'n_epochs': 11.5}","{'bsl_options': {'method': 'als', 'reg_i': 1.0, 'reg_u': 25.0, 'n_epochs': 11.5}}",{'RMSE': 0.99970230740884747}
24,0.9996951870757103,"{'method': 'als', 'reg_i': 1.0, 'reg_u': 25.0, 'n_epochs': 15.0}","{'bsl_options': {'method': 'als', 'reg_i': 1.0, 'reg_u': 25.0, 'n_epochs': 15.0}}",{'RMSE': 0.99969518707571026}
25,1.0004029604083904,"{'method': 'als', 'reg_i': 5.75, 'reg_u': 5.0, 'n_epochs': 1.0}","{'bsl_options': {'method': 'als', 'reg_i': 5.75, 'reg_u': 5.0, 'n_epochs': 1.0}}",{'RMSE': 1.0004029604083904}
